Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"Birds of Prey, Vol. 3",9,"Night of the Owls - Gangland Style",,"DC Comics","May 16, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Travel Foreman | Jeffrey Huet"
"Birds of Prey, Vol. 3",10,"Heet Seekers",,"DC Comics","Jun 20, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Travel Foreman"
"Birds of Prey, Vol. 3",11,"Tangled Up Inside",,"DC Comics","Jul 18, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Travel Foreman | Timothy Green II"
"Birds of Prey, Vol. 3",12,"Heartbreak And Vine",,"DC Comics","Aug 15, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Cliff Richards"
"Birds of Prey, Vol. 3",13,"Swear By My Eyes",,"DC Comics","Oct 17, 2012",Comic,"Feb 23, 2014","Duane Swierczynski | Romano Molenaar | Vicente Cifuentes"
"Birds of Prey, Vol. 3",25,"Zero Year - Sunrise",,"DC Comics","Nov 20, 2013",Comic,"Mar 23, 2014","Christy Marx | Travis Moore | Daniel Sampere"
"Birds Of Prey: Futures End",1A,"Futures End, The Red League","3D Cover","DC Comics","Sep 10, 2014",Comic,"Oct 04, 2014","Christy Marx | Robson Rocha | Julio Ferreira"
Birthright,1B,Birthright,"Marc Silvestri Variant Cover","Image Comics","Oct 08, 2014",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,2C,,"2nd Print","Image Comics","Dec 03, 2014",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,3,,,"Image Comics","Dec 03, 2014",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,4,,,"Image Comics","Jan 07, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,5A,,,"Image Comics","Feb 04, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,6B,,"James Harren Variant Cover","Image Comics","Apr 08, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,7,,,"Image Comics","May 13, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,10,,,"Image Comics","Aug 12, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,11A,,"Andrei Bressan Regular Cover","Image Comics","Nov 11, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,12A,,,"Image Comics","Dec 09, 2015",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,13A,,"Andrei Bressan Regular Cover","Image Comics","Jan 13, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,14A,,"Andrei Bressan Regular Cover","Image Comics","Feb 17, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,15A,,"Andrei Bressan Regular Cover","Image Comics","Mar 23, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,16A,,,"Image Comics","Jun 08, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,17A,,,"Image Comics","Jul 13, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,18,,,"Image Comics","Aug 10, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,19,,,"Image Comics","Sep 14, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,20,,,"Image Comics","Oct 26, 2016",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,21,,,"Image Comics","Jan 11, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,22,,,"Image Comics","Feb 08, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,23,,,"Image Comics","Mar 22, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,24,,,"Image Comics","May 17, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,25,,,"Image Comics","Jun 14, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,26B,,"Variant Lorenzo De Felici Cover","Image Comics","Sep 13, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Andrei Bressan"
Birthright,27A,,"Regular Andrei Bressan & Adriano Lucas Cover","Image Comics","Oct 11, 2017",Comic,"Jan 05, 2018","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,28,,,"Image Comics","Nov 08, 2017",Comic,"Feb 13, 2018","Joshua Williamson | Adriano Lucas"
Birthright,29,,,"Image Comics","Jan 03, 2018",Comic,"Jan 26, 2018",
Birthright,30,,,"Image Comics","Feb 21, 2018",Comic,"Jul 16, 2018","Joshua Williamson | Andrei Bressan"
Birthright,31A,,,"Image Comics","Sep 12, 2018",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,32,,,"Image Comics","Oct 10, 2018",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,33,,,"Image Comics","Nov 14, 2018",Comic,"Dec 04, 2020",
Birthright,34A,,"Regular Andrei Bressan & Adriano Lucas Cover","Image Comics","Dec 12, 2018",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,35,,,"Image Comics","Jan 09, 2019",Comic,"Dec 04, 2020",
Birthright,36,,,"Image Comics","Jun 05, 2019",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,37,,,"Image Comics","Jul 03, 2019",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,38,,,"Image Comics","Aug 07, 2019",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,39,,,"Image Comics","Sep 04, 2019",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,40,,,"Image Comics","Oct 02, 2019",Comic,"Dec 04, 2020","Joshua Williamson | Andrei Bressan"
Birthright,41,,,"Image Comics","Feb 05, 2020",Comic,"Dec 04, 2020","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,42,,,"Image Comics","Mar 04, 2020",Comic,"Dec 03, 2020","Joshua Williamson | Andrei Bressan"
Birthright,43,,,"Image Comics","May 20, 2020",Comic,"Dec 04, 2020","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,44,,,"Image Comics","Jun 17, 2020",Comic,"Dec 04, 2020","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,45,,,"Image Comics","Jul 22, 2020",Comic,"Dec 04, 2020","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,46,,,"Image Comics","Feb 10, 2021",Comic,"Jun 13, 2021","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,47,,,"Image Comics","Mar 10, 2021",Comic,"Jun 13, 2021","Joshua Williamson | Andrei Bressan"
Birthright,48,,,"Image Comics","Apr 14, 2021",Comic,"Jun 13, 2021","Joshua Williamson | Andrei Bressan"
Birthright,49,,,"Image Comics","May 12, 2021",Comic,"Jun 13, 2021","Joshua Williamson | Adriano Lucas | Andrei Bressan"
Birthright,50,,,"Image Comics","Jun 09, 2021",Comic,"Jun 13, 2021",
Bishop,1,"Escape From Tomorrow",,"Marvel Comics","Dec 1994",Comic,"Feb 23, 2014","John Ostrander | Carlos Pacheco | Cam Smith"
Bishop,2A,"One Man Posse",,"Marvel Comics","Jan 1995",Comic,"Feb 23, 2014","John Ostrander | Carlos Pacheco | Cam Smith"
Bishop,3,"Future Intense",,"Marvel Comics","Feb 1995",Comic,"Feb 23, 2014","John Ostrander | Carlos Pacheco | Cam Smith"
Bishop,4,"Final Reckonings",,"Marvel Comics","Mar 1995",Comic,"Feb 23, 2014","John Ostrander | Carlos Pacheco | Cam Smith"
"Black & White",1,Black,"First Printing","Image Comics","Oct 1994",Comic,"Feb 23, 2014","Pamela Thibert | Art Thibert"
"Black Adam: Endless Winter Special",1A,"Chapter 8","Cvr A Dale Eaglesham","DC Comics","Dec 22, 2020",Comic,"Jan 01, 2021","Ron Marz | Andy Lanning | Brandon Peterson"
"Black Bolt",1A,,"Regular Christian Ward Cover","Marvel Comics","May 03, 2017",Comic,"Jan 12, 2021","Saladin Ahmed | Christian Ward"
"Black Bolt",2A,,"Regular Christian Ward Cover","Marvel Comics","Jun 07, 2017",Comic,"Jan 12, 2021","Saladin Ahmed | Christian Ward"
"Black Canary And Zatanna: Bloodspell",HC,,,"DC Comics","May 21, 2014",Hardcover,"May 25, 2014","Paul Dini | Joe Quinones"
"Black Cat, Vol. 1",1A,"Thieves Like Us","Regular J Scott Campbell Cover","Marvel Comics","Jun 05, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman | Michael Dowling"
"Black Cat, Vol. 1",2A,"Holiest Of Holies, Part One","Regular J Scott Campbell Cover","Marvel Comics","Jul 10, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman"
"Black Cat, Vol. 1",3A,"Holiest Of Holies, Part Two","Regular J Scott Campbell Cover","Marvel Comics","Aug 07, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman | Michael Dowling"
"Black Cat, Vol. 1",4A,"Yancy St. Shuffle, Part One",,"Marvel Comics","Sep 11, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman"
"Black Cat, Vol. 1",5A,,"Regular J Scott Campbell Cover","Marvel Comics","Oct 02, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman"
"Black Cat, Vol. 1",6A,,"Regular J Scott Campbell Cover","Marvel Comics","Nov 06, 2019",Comic,"Dec 22, 2019","Jed Mackay | Michael Dowling"
"Black Cat, Vol. 1",7A,,"Regular J Scott Campbell Cover","Marvel Comics","Dec 04, 2019",Comic,"Dec 22, 2019","Jed Mackay | Travel Foreman"
"Black Cat, Vol. 1",8A,"Girls' Night Out","Regular J Scott Campbell Cover","Marvel Comics","Jan 08, 2020",Comic,"Feb 23, 2020","Jed Mackay | Annie Wu | Dike Ruan"
"Black Cat, Vol. 1",9A,,"Regular J Scott Campbell Cover","Marvel Comics","Feb 05, 2020",Comic,"Feb 13, 2020","Jed Mackay | Kris Anka"
"Black Cat, Vol. 1",10A,"Sleight Of Hand, Part Two","Regular J Scott Campbell Cover","Marvel Comics","Mar 04, 2020",Comic,"Aug 08, 2020","Jed Mackay | Kris Anka"
"Black Cat, Vol. 1",11A,,"Regular J Scott Campbell Cover","Marvel Comics","Jun 10, 2020",Comic,"Aug 08, 2020","Jed Mackay | Carlos Villa"
"Black Cat, Vol. 1",12A,"Full Metal Black Cat, Part Two","Regular J Scott Campbell Cover","Marvel Comics","Aug 05, 2020",Comic,"Dec 04, 2020","Jed Mackay | Carlos Villa"
"Black Cat, Vol. 1 Annual",1B,,"Variant Todd Nauck Cover","Marvel Comics","Nov 13, 2019",Comic,"Dec 22, 2019","Jed Mackay | Juan Gedeon | Natacha Bustos"
"Black Cat, Vol. 2",1A,"King in Black - Queen in Black, Part One","Pepe Larraz Regular Cover","Marvel Comics","Dec 16, 2020",Comic,"Jun 02, 2021","Jed Mackay | C.F. Villa"
"Black Cat, Vol. 2",2B,,"Variant Peach Momoko Marvel vs Alien Cover","Marvel Comics","Jan 20, 2021",Comic,"Jan 31, 2021","Jed Mackay | C.F. Villa"
"Black Cat, Vol. 2",2F,,"2nd Printing","Marvel Comics","Feb 24, 2021",Comic,"Jun 01, 2021",
"Black Cat, Vol. 2",3A,"King in Black - Queen in Black, Part Three","Regular Pepe Larraz Cover","Marvel Comics","Feb 24, 2021",Comic,"Jun 02, 2021","Jed Mackay | C.F. Villa"
"Black Cat, Vol. 2",4C,,"Variant Natacha Bustos Cover","Marvel Comics","Mar 31, 2021",Comic,"Jun 17, 2021","Jed Mackay | Nina Vakueva"
"Black Cat, Vol. 2",5A,"The Gilded City, Part 1","Regular Pepe Larraz Cover","Marvel Comics","Apr 14, 2021",Comic,"Jun 17, 2021","Jed Mackay | Michael Dowling"
"Black Cat, Vol. 2",6A,"The Gilded City, Part 2",,"Marvel Comics","May 12, 2021",Comic,"Jun 13, 2021","Jed Mackay | Michael Dowling"
"Black Cat, Vol. 2",7A,"The Gilded City, Part 3","Regular Pepe Larraz Cover","Marvel Comics","Jun 02, 2021",Comic,"Jun 18, 2021","Jed Mackay | Michael Dowling"
"Black Cat, Vol. 2",8A,,"Regular Pepe Larraz Cover","Marvel Comics","Jul 28, 2021",Comic,"Aug 01, 2021","Jed Mackay | Carlos Villa"
"Black Cat, Vol. 2",9A,"Infinity Score, Part 2",,"Marvel Comics","Aug 18, 2021",Comic,"Aug 20, 2021","Jed Mackay | Carlos Villa"
"Black Cat, Vol. 2",10D,,"Variant Dike Ruan Miles Morales Spider-Man 10th Anniversary Cover","Marvel Comics","Sep 29, 2021",Comic,"Oct 01, 2021","Jed Mackay | Carlos Villa"
"Black Condor",1,"A Dream Of Flying",,"DC Comics","Apr 1992",Comic,"Feb 23, 2014","Brian Augustyn | Rags Morales"
"Black Flag (Image)",1A,Monsters,,"Image Comics","Jun 1994",Comic,"Feb 23, 2014","Dan Fraga | Eric Stephenson"
"Black Hood",1,"Justice, No Waiting",,"DC Comics","Dec 1991",Comic,"Feb 23, 2014","Mark Obie Wheatley | Rick Burchett"
"Black Knight, Vol. 4",1A,,"Julian Totino Tedesco Regular Cover","Marvel Comics","Nov 18, 2015",Comic,"May 30, 2016","Frank Tieri | Luca Pizzari"
"Black Knight, Vol. 4",2A,"Dark Knight, Part Two","Julian Totino Tedesco Regular Cover","Marvel Comics","Dec 09, 2015",Comic,"May 30, 2016","Frank Tieri | Kev Walker | Luca Pizzari"
"Black Knight, Vol. 4",3A,,,"Marvel Comics","Jan 13, 2016",Comic,"May 30, 2016","Frank Tieri | Kev Walker | Luca Pizzari"
"Black Knight, Vol. 4",4,"Dark Knight, Part Four",,"Marvel Comics","Feb 10, 2016",Comic,"May 30, 2016","Frank Tieri | Luca Pizzari"
"Black Knight, Vol. 4",5A,,,"Marvel Comics","Mar 09, 2016",Comic,"May 30, 2016","Frank Tieri | Luca Pizzari | Julian Totino Tedesco"
"Black Magick",1B,"Awakening, Part 1","Jill Thompson Variant Cover","Image Comics","Nov 25, 2015",Comic,"Mar 19, 2016","Greg Rucka | Nicola Scott"
"Black Magick",2A,"Awakening, Part 2","Nicola Scott Regular Cover","Image Comics","Nov 25, 2015",Comic,"Mar 19, 2016","Greg Rucka | Nicola Scott"
"Black Magick",3A,"Awakening, Part 3","Nicola Scott Regular Cover","Image Comics","Dec 30, 2015",Comic,"Apr 09, 2016","Greg Rucka | Nicola Scott"
"Black Magick",4A,"Awakening, Part 4","Nicola Scott Regular Cover","Image Comics","Jan 27, 2016",Comic,"May 30, 2016","Greg Rucka | Nicola Scott"
"Black Orchid, Vol. 2",3,"The Tainted Zone",,"DC Comics","Nov 1993",Comic,"Feb 23, 2014","Dick Foreman | Jill Thompson | Stan Woch"
"Black Orchid, Vol. 2",14,"Glamour's End",,"DC Comics","Oct 1994",Comic,"Feb 23, 2014","Dick Foreman | Rebecca Guay | Stan Woch"
"Black Panther and The Crew",1A,"We are the Streets, Part 1: Double Consciousness","Regular John Cassaday Cover","Marvel Comics","Apr 12, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Jackson Guice | Scott Hanna"
"Black Panther and The Crew",2A,"We are the Streets, Part 2: Afro-Blue","Regular John Cassaday Cover","Marvel Comics","May 10, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Yona Harvey | Jackson Guice"
"Black Panther, Vol. 2",1,"Cry, The Accursed Country!",,"Marvel Comics","Jul 1988",Comic,"Feb 23, 2014","Peter B. Gillis | Denys B. Cowan | Sam de la Rosa"
"Black Panther, Vol. 3",1A,"The Client",,"Marvel Comics","Nov 1998",Comic,"Feb 23, 2014","Christopher Priest | Mark Texeira"
"Black Panther, Vol. 3",2A,Invasion,,"Marvel Comics","Dec 1998",Comic,"Feb 23, 2014","Christopher Priest | Mark Texeira"
"Black Panther, Vol. 3",3,"Original Sin",,"Marvel Comics","Jan 1999",Comic,"Feb 23, 2014","Christopher Priest | Mark Texeira | Alitha Martinez"
"Black Panther, Vol. 3",4,"The Price",,"Marvel Comics","Feb 1999",Comic,"Feb 23, 2014","Christopher Priest | Mark Texeira | Alitha Martinez"
"Black Panther, Vol. 3",5,"Lord Of The Damned",,"Marvel Comics","Mar 1999",Comic,"Feb 23, 2014","Christopher Priest | Vince Evans"
"Black Panther, Vol. 3",6,Hunted,,"Marvel Comics","Apr 1999",Comic,"Feb 23, 2014","Christopher Priest | Joe Jusko"
"Black Panther, Vol. 6",1A,"A Nation Under Our Feet","Brian Stelfreeze Regular Cover","Marvel Comics","Apr 06, 2016",Comic,"Apr 09, 2016","Ta-Nehisi Coates | Brian Stelfreeze"
"Black Panther, Vol. 6",2A,"A Nation Under Our Feet, A Nation Under Our Feet","Brian Stelfreeze Regular Cover","Marvel Comics","May 11, 2016",Comic,"May 30, 2016","Ta-Nehisi Coates | Brian Stelfreeze"
"Black Panther, Vol. 6",4A,"A Nation Under Our Feet, Part Four","Regular Brian Stelfreeze Cover","Marvel Comics","Jul 20, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Brian Stelfreeze"
"Black Panther, Vol. 6",5A,"A Nation Under Our Feet, Part Five","1st Print","Marvel Comics","Aug 10, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Karl Story"
"Black Panther, Vol. 6",6A,"A Nation Under Our Feet, Part Six","Regular Brian Stelfreeze Cover","Marvel Comics","Sep 14, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Karl Story"
"Black Panther, Vol. 6",7A,"A Nation Under Our Feet, Part Seven","Regular Brian Stelfreeze Cover","Marvel Comics","Oct 19, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Karl Story"
"Black Panther, Vol. 6",8A,"A Nation Under Our Feet, Part Eight","Regular Brian Stelfreeze Cover","Marvel Comics","Nov 16, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Walden Wong"
"Black Panther, Vol. 6",9A,"A Nation Under Our Feet, Part Nine","Regular Brian Stelfreeze Cover","Marvel Comics","Dec 28, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Brian Stelfreeze"
"Black Panther, Vol. 6",10A,"A Nation Under Our Feet, Part Ten","Regular Brian Stelfreeze Cover","Marvel Comics","Jan 25, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Karl Story"
"Black Panther, Vol. 6",11A,"A Nation Under Our Feet, Part Eleven",,"Marvel Comics","Feb 22, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Chris Sprouse | Walden Wong"
"Black Panther, Vol. 6",12A,"A Nation Under Our Feet, Part Twelve","Regular Brian Stelfreeze Cover","Marvel Comics","Mar 22, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Brian Stelfreeze | Chris Sprouse"
"Black Panther, Vol. 6",13A,"Avengers of the New World, Part One","Regular Brian Stelfreeze Cover","Marvel Comics","Apr 26, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Wilfredo Torres"
"Black Panther, Vol. 6",14A,"Avengers of the New World, Part Two","Regular Brian Stelfreeze Cover","Marvel Comics","May 24, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Jacen Burrows | Wilfredo Torres"
"Black Panther, Vol. 6",15A,"Avengers of the New World, Part Three","Regular Brian Stelfreeze Cover","Marvel Comics","Jun 28, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Adam Gorham | Wilfredo Torres"
"Black Panther: World of Wakanda",1A,"Dawn Of The Midnight Angels, Part 1","Regular Afua Richardson Cover","Marvel Comics","Nov 09, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Roxane Gay | Brian Stelfreeze"
"Black Panther: World of Wakanda",2A,"Dawn Of The Midnight Angels, Part 2","Regular Afua Richardson Cover","Marvel Comics","Dec 21, 2016",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Roxane Gay | Brian Stelfreeze"
"Black Panther: World of Wakanda",3A,"Dawn Of The Midnight Angels, Part 3","Regular Afua Richardson Cover","Marvel Comics","Jan 18, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Roxane Gay | Alitha Martinez"
"Black Panther: World of Wakanda",4,"Dawn Of The Midnight Angels, Part 4",,"Marvel Comics","Feb 15, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Roxane Gay | Alitha Martinez"
"Black Panther: World of Wakanda",5A,"Dawn Of The Midnight Angels, Part 5","Regular Afua Richardson Cover","Marvel Comics","Mar 15, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Roxane Gay | Alitha Martinez"
"Black Panther: World of Wakanda",6A,"Death of the White Tiger","Regular Rahzzah Cover","Marvel Comics","Apr 19, 2017",Comic,"Nov 24, 2021","Ta-Nehisi Coates | Rembert Browne | Joe Bennett"
"Black Widow, Vol. 6",1A,"Raison D'etre","Regular Cover - Phil Noto","Marvel Comics","Jan 08, 2014",Comic,"Feb 23, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",2A,Shanghaied,"Phil Noto Cover","Marvel Comics","Jan 22, 2014",Comic,"Feb 23, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",3A,Foliage,,"Marvel Comics","Feb 05, 2014",Comic,"Feb 23, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",4,"Public Enemy",,"Marvel Comics","Mar 12, 2014",Comic,"Mar 22, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",5,"For the Birds",,"Marvel Comics","Apr 02, 2014",Comic,"Apr 10, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",6,Paranoia,,"Marvel Comics","May 07, 2014",Comic,"May 14, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",7,"Fog Of War",,"Marvel Comics","Jun 04, 2014",Comic,"Jul 20, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",8,"Bitter Cold",,"Marvel Comics","Jul 02, 2014",Comic,"Jul 16, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",9,"Friend From Foe ",,"Marvel Comics","Aug 06, 2014",Comic,"Aug 16, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",10,"Total Recall",,"Marvel Comics","Sep 03, 2014",Comic,"Oct 18, 2014","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",11A,"Femmes Fatales",,"Marvel Comics","Oct 01, 2014",Comic,"Dec 13, 2015","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",12,Somalia,,"Marvel Comics","Nov 19, 2014",Comic,"Aug 08, 2015","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",13,Autumn,,"Marvel Comics","Dec 17, 2014",Comic,"Aug 08, 2015","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",14,"Kill List","Regular Cover - Phil Noto","Marvel Comics","Jan 21, 2015",Comic,"Aug 08, 2015","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",15A,"An Enemy Revealed",,"Marvel Comics","Feb 18, 2015",Comic,"Aug 08, 2015","Nathan Edmondson | Phil Noto"
"Black Widow, Vol. 6",16A,"How To Be Good",,"Marvel Comics","Mar 18, 2015",Comic,"Aug 08, 2015","Nathan Edmondson | Phil Noto"
